Employee ID,DOB,Emp Age,Surname,Name,Gender,Marital Status,Branch,Hire Date,Leave Date,Leave Reason,Status,Department,Employee Satisfaction,Annual Salary ($),Bonus ($),Total Compensation,Job Title,Job Description,Manager (Y/N),Performance
10119,10/04/1954,68,Garcia,Emmanuel,M,Single,Lima,2016-04-02 00:00:00,,Not provided,Active,Production,3,63057,4851,67908,Production Technician I,Technician,No,Fully Meets
10136,19/09/1968,54,Mahoney,Victor,M,Single,Lima,2016-08-04 00:00:00,,Not provided,Active,Production,4,64939,9991,74930,Production Technician I,Technician,No,Fully Meets
10143,21/02/1972,51,Gold,Juan,M,Single,Buenos Aires,2016-10-11 00:00:00,,Not provided,Active,Production,5,73810,6813,80623,Production Technician I,Technician,No,Fully Meets
10144,17/01/1975,48,Dickinson,Leandro,M,Single,Buenos Aires,2016-10-23 00:00:00,,Not provided,Active,Production,4,73025,10673,83698,Production Technician I,Technician,No,Fully Meets
10149,19/07/1986,36,Chace,Rita,F,Single,Lima,2016-11-24 00:00:00,,Not provided,Active,Production,4,70430,9210,79640,Production Technician I,Technician,No,Fully Meets
10152,24/11/1990,32,Williams,Justo,M,Single,Lima,2016-12-15 00:00:00,,Not provided,Active,Production,4,70298,10815,81113,Production Technician I,Technician,No,Fully Meets
10153,01/10/1960,62,Crimmings,Lautaro,M,Single,Montevideo,2016-12-16 00:00:00,,Not provided,Active,Production,5,69151,4255,73406,Production Technician I,Technician,No,Fully Meets
10155,05/04/1991,31,Garneau,Ezequiel,M,Single,Lima,2016-12-30 00:00:00,,Not provided,Active,Production,4,71608,9364,80972,Production Technician I,Technician,No,Fully Meets
10163,10/08/1962,60,Nguyen,Roberto,M,Single,Montevideo,2017-02-25 00:00:00,,Not provided,Active,Production,5,58867,6792,65659,Production Technician I,Technician,No,Fully Meets
10167,27/03/1976,46,Pitt,Alejandro,M,Single,Buenos Aires,2017-03-13 00:00:00,,Not provided,Active,Production,3,65265,8535,73800,Production Technician I,Technician,No,Fully Meets
10173,20/03/1981,41,Barone,Julieta,F,Single,Montevideo,2017-04-13 00:00:00,,Not provided,Active,Production,4,55424,3837,59261,Production Technician I,Technician,No,Fully Meets
10174,18/03/1959,63,Chang,Emanuel,M,Single,Buenos Aires,2017-04-13 00:00:00,,Not provided,Active,Production,5,59734,5514,65248,Production Technician I,Technician,No,Fully Meets
10207,13/12/1992,30,Gaul,Barbara,F,Single,Buenos Aires,2018-01-24 00:00:00,,Not provided,Active,Production,4,67460,8822,76282,Production Technician I,Technician,No,Fully Meets
10211,29/03/1977,45,Dobrin,Denise,F,Single,Montevideo,2018-03-16 00:00:00,,Not provided,Active,Production,5,55306,5531,60837,Production Technician I,Technician,No,Fully Meets
10215,01/01/1980,43,Keatts,Martín,M,Single,Buenos Aires,2018-03-31 00:00:00,,Not provided,Active,Production,4,74263,9711,83974,Production Technician I,Technician,No,Fully Meets
10221,06/03/1953,70,Heitzman,Antonio,M,Single,Lima,2018-05-26 00:00:00,,Not provided,Active,Production,4,73311,5639,78950,Production Technician I,Technician,No,Fully Meets
10224,23/03/1972,50,Meads,Elizabeth,F,Single,Buenos Aires,2018-06-06 00:00:00,,Not provided,Active,Production,4,56256,8655,64911,Production Technician I,Technician,No,Fully Meets
10225,03/10/1956,66,Knapp,Brian,M,Single,Lima,2018-06-08 00:00:00,,Not provided,Active,Production,3,56677,8284,64961,Production Technician I,Technician,No,Fully Meets
10226,10/10/1985,37,Ndzi,Bautista,M,Single,Montevideo,2018-06-19 00:00:00,,Not provided,Active,Production,3,77305,11298,88603,Production Technician I,Technician,No,Fully Meets
10247,16/11/1952,70,Ivey,Rosa,F,Single,Buenos Aires,2018-12-08 00:00:00,,Not provided,Active,Production,3,69772,8051,77823,Production Technician I,Technician,No,Fully Meets
10253,18/06/1952,70,Engdahl,Gonzalo,M,Single,Montevideo,2019-01-12 00:00:00,,Not provided,Active,Production,5,67235,10344,77579,Production Technician I,Technician,No,Fully Meets
10267,06/07/1971,51,Punjabhi,Luis,M,Single,Buenos Aires,2019-04-20 00:00:00,,Not provided,Active,Production,3,77887,11383,89270,Production Technician I,Technician,No,Fully Meets
10268,17/10/1976,46,Cierpiszewski,Carolina,F,Single,Lima,2019-04-22 00:00:00,,Not provided,Active,Production,5,71165,6569,77734,Production Technician I,Technician,No,Fully Meets
10274,27/08/1954,68,Smith,Paula,F,Single,Montevideo,2019-05-26 00:00:00,,Not provided,Active,Production,3,58356,5387,63743,Production Technician I,Technician,No,Fully Meets
10304,24/11/1973,49,Medeiros,Jennifer,F,Single,Buenos Aires,2019-11-26 00:00:00,,Not provided,Active,Production,4,70711,3808,74519,Production Technician I,Technician,No,Fully Meets
10001,05/12/1955,67,Stoica,Juan,M,Married,Lima,2014-01-08 00:00:00,,Not provided,Active,Production,3,57615,10947,68562,Production Technician I,Technician,No,Fully Meets
10018,16/05/1978,44,England,Ana,F,Married,Lima,2014-05-18 00:00:00,,Not provided,Active,Production,3,41435,4558,45993,Production Technician I,Technician,No,Fully Meets
10024,03/11/1972,50,Jhaveri,Silvana,F,Partners,Lima,2014-07-26 00:00:00,,Not provided,Active,Production,5,57890,4052,61942,Production Technician I,Technician,No,Fully Meets
10028,20/06/1968,54,Gordon,Santiago,M,Married,Montevideo,2014-08-12 00:00:00,,Not provided,Active,Production,3,43464,4781,48245,Production Technician I,Technician,No,Fully Meets
10029,04/05/1977,45,Rose,Juvencio,M,Partners,Lima,2014-08-15 00:00:00,,Not provided,Active,Production,4,42309,2115,44424,Production Technician I,Technician,No,Fully Meets
10030,08/04/1963,59,Power,Adriana,F,Divorced,Lima,2014-08-25 00:00:00,,Not provided,Active,Production,4,49337,3454,52791,Production Technician I,Technician,No,Fully Meets
10051,03/11/1954,68,Motlagh,Oscar,M,Divorced,Buenos Aires,2014-12-14 00:00:00,,Not provided,Active,Production,4,46723,3271,49994,Production Technician I,Technician,No,Fully Meets
10054,23/09/1977,45,Langton,Daniel,M,Married,Buenos Aires,2014-12-19 00:00:00,,Not provided,Active,Production,5,54727,9304,64031,Production Technician I,Technician,No,Fully Meets
10065,03/03/1958,65,Robinson,Rocio,F,Married,Buenos Aires,2015-03-02 00:00:00,,Not provided,Active,Production,3,54996,6050,61046,Production Technician I,Technician,No,Fully Meets
10100,06/06/1953,69,Wilber,Lidia,F,Married,Buenos Aires,2015-11-19 00:00:00,,Not provided,Active,Production,3,43255,7353,50608,Production Technician I,Technician,No,Fully Meets
10102,05/11/1987,35,Peterson,Sebastian,M,Married,Buenos Aires,2015-11-28 00:00:00,,Not provided,Active,Production,3,47514,4751,52265,Production Technician I,Technician,No,Fully Meets
10113,05/11/1978,44,Jacobi,Nicolas,M,Divorced,Lima,2016-02-29 00:00:00,,Not provided,Active,Production,5,58132,2907,61039,Production Technician I,Technician,No,Fully Meets
10117,12/08/1972,50,Athwal,Nelson,M,Widower,Buenos Aires,2016-03-23 00:00:00,,Not provided,Active,Production,4,47657,2383,50040,Production Technician I,Technician,No,Fully Meets
10120,19/12/1991,31,Gentry,Milena,F,Married,Lima,2016-04-16 00:00:00,,Not provided,Active,Production,3,44180,3534,47714,Production Technician I,Technician,No,Fully Meets
10125,15/04/1983,39,Tavares,Leonardo,M,Married,Montevideo,2016-05-26 00:00:00,,Not provided,Active,Production,5,50594,8601,59195,Production Technician I,Technician,No,Fully Meets
10128,11/09/1962,60,Mangal,Josue,M,Married,Buenos Aires,2016-06-16 00:00:00,,Not provided,Active,Production,3,42418,3818,46236,Production Technician I,Technician,No,Fully Meets
10147,24/05/1959,63,Darson,Ana,F,Married,Lima,2016-11-04 00:00:00,,Not provided,Active,Production,3,57984,11017,69001,Production Technician I,Technician,No,Fully Meets
10156,21/03/1978,44,Tinto,María,F,Divorced,Montevideo,2017-01-03 00:00:00,,Not provided,Active,Production,5,59238,10663,69901,Production Technician I,Technician,No,Fully Meets
10160,29/10/1985,37,Shields,Silvia,F,Married,Buenos Aires,2017-02-09 00:00:00,,Not provided,Active,Production,4,56557,3393,59950,Production Technician I,Technician,No,Fully Meets
10166,06/03/1967,56,Mckenna,Romina,F,Married,Montevideo,2017-03-07 00:00:00,,Not provided,Active,Production,3,56884,6826,63710,Production Technician I,Technician,No,Fully Meets
10181,10/09/1977,45,Maurice,Ignacio,M,Married,Lima,2017-05-21 00:00:00,,Not provided,Active,Production,4,50707,8113,58820,Production Technician I,Technician,No,Fully Meets
10194,01/08/1959,63,Purinton,Agustin,M,Divorced,Montevideo,2017-10-12 00:00:00,,Not provided,Active,Production,5,47109,8951,56060,Production Technician I,Technician,No,Fully Meets
10199,14/01/1970,53,Barbara,María,F,Married,Buenos Aires,2017-11-23 00:00:00,,Not provided,Active,Production,3,53417,3205,56622,Production Technician I,Technician,No,Fully Meets
10202,20/07/1958,64,Sander,Marcos,M,Married,Montevideo,2017-12-18 00:00:00,,Not provided,Active,Production,3,49947,8990,58937,Production Technician I,Technician,No,Fully Meets
10018,16/05/1978,44,England,Ana,F,Married,Lima,2014-05-18 00:00:00,,Not provided,Active,Production,3,45579,4558,50137,Production Technician I,Technician,No,Fully Meets
10024,03/11/1972,50,Jhaveri,Silvana,F,Partners,Lima,2014-07-26 00:00:00,,Not provided,Active,Production,5,63679,4052,67731,Production Technician I,Technician,No,Fully Meets
10028,20/06/1968,54,Gordon,Santiago,M,Married,Montevideo,2014-08-12 00:00:00,,Not provided,Active,Production,3,47810,4781,52591,Production Technician I,Technician,No,Fully Meets
10029,04/05/1977,45,Rose,Juvencio,M,Partners,Lima,2014-08-15 00:00:00,,Not provided,Active,Production,4,46540,2115,48655,Production Technician I,Technician,No,Fully Meets
10030,08/04/1963,59,Power,Adriana,F,Divorced,Lima,2014-08-25 00:00:00,,Not provided,Active,Production,4,54271,3454,57725,Production Technician I,Technician,No,Fully Meets
10051,03/11/1954,68,Motlagh,Oscar,M,Divorced,Buenos Aires,2014-12-14 00:00:00,,Not provided,Active,Production,4,51395,3271,54666,Production Technician I,Technician,No,Fully Meets
10054,23/09/1977,45,Langton,Daniel,M,Married,Buenos Aires,2014-12-19 00:00:00,,Not provided,Active,Production,5,60200,9304,69504,Production Technician I,Technician,No,Fully Meets
10065,03/03/1958,65,Robinson,Rocio,F,Married,Buenos Aires,2015-03-02 00:00:00,,Not provided,Active,Production,3,60496,6050,66546,Production Technician I,Technician,No,Fully Meets
10100,06/06/1953,69,Wilber,Lidia,F,Married,Buenos Aires,2015-11-19 00:00:00,,Not provided,Active,Production,3,47581,7353,54934,Production Technician I,Technician,No,Fully Meets
10102,05/11/1987,35,Peterson,Sebastian,M,Married,Buenos Aires,2015-11-28 00:00:00,,Not provided,Active,Production,3,52265,4751,57016,Production Technician I,Technician,No,Fully Meets
10113,05/11/1978,44,Jacobi,Nicolas,M,Divorced,Lima,2016-02-29 00:00:00,,Not provided,Active,Production,5,63945,2907,66852,Production Technician I,Technician,No,Fully Meets
10117,12/08/1972,50,Athwal,Nelson,M,Widower,Buenos Aires,2016-03-23 00:00:00,,Not provided,Active,Production,4,52423,2383,54806,Production Technician I,Technician,No,Fully Meets
10120,19/12/1991,31,Gentry,Milena,F,Married,Lima,2016-04-16 00:00:00,,Not provided,Active,Production,3,48598,3534,52132,Production Technician I,Technician,No,Fully Meets
10125,15/04/1983,39,Tavares,Leonardo,M,Married,Montevideo,2016-05-26 00:00:00,,Not provided,Active,Production,5,55653,8601,64254,Production Technician I,Technician,No,Fully Meets
10128,11/09/1962,60,Mangal,Josue,M,Married,Buenos Aires,2016-06-16 00:00:00,,Not provided,Active,Production,3,46660,3818,50478,Production Technician I,Technician,No,Fully Meets
10147,24/05/1959,63,Darson,Ana,F,Married,Lima,2016-11-04 00:00:00,,Not provided,Active,Production,3,63782,11017,74799,Production Technician I,Technician,No,Fully Meets
10156,21/03/1978,44,Tinto,María,F,Divorced,Montevideo,2017-01-03 00:00:00,,Not provided,Active,Production,5,65162,10663,75825,Production Technician I,Technician,No,Fully Meets
10160,29/10/1985,37,Shields,Silvia,F,Married,Buenos Aires,2017-02-09 00:00:00,,Not provided,Active,Production,4,62213,3393,65606,Production Technician I,Technician,No,Fully Meets
10166,06/03/1967,56,Mckenna,Romina,F,Married,Montevideo,2017-03-07 00:00:00,,Not provided,Active,Production,3,62572,6826,69398,Production Technician I,Technician,No,Fully Meets
10178,15/03/1956,66,Zima,Laura,F,Widower,Montevideo,2017-05-01 00:00:00,,Not provided,Active,Production,5,51778,2354,54132,Production Technician I,Technician,No,Fully Meets
10181,10/09/1977,45,Maurice,Ignacio,M,Married,Lima,2017-05-21 00:00:00,,Not provided,Active,Production,4,55778,8113,63891,Production Technician I,Technician,No,Fully Meets
10182,23/08/1959,63,Pham,Juana,F,Married,Montevideo,2017-05-25 00:00:00,,Not provided,Active,Production,3,55369,2517,57886,Production Technician I,Technician,No,Fully Meets
10194,01/08/1959,63,Purinton,Agustin,M,Divorced,Montevideo,2017-10-12 00:00:00,,Not provided,Active,Production,5,51820,8951,60771,Production Technician I,Technician,No,Fully Meets
10199,14/01/1970,53,Barbara,María,F,Married,Buenos Aires,2017-11-23 00:00:00,,Not provided,Active,Production,3,58759,3205,61964,Production Technician I,Technician,No,Fully Meets
10202,20/07/1958,64,Sander,Marcos,M,Married,Montevideo,2017-12-18 00:00:00,,Not provided,Active,Production,3,54942,8990,63932,Production Technician I,Technician,No,Fully Meets
10219,12/01/1991,32,Rarrick,Fernando,M,Divorced,Buenos Aires,2018-05-08 00:00:00,,Not provided,Active,Production,5,62291,8494,70785,Production Technician I,Technician,No,Fully Meets
10239,24/09/1951,71,Alagbe,Julieta,F,Married,Buenos Aires,2018-09-17 00:00:00,,Not provided,Active,Production,5,48864,4886,53750,Production Technician I,Technician,No,Fully Meets
10250,27/01/1978,45,DeGweck,Luis,M,Married,Lima,2018-12-25 00:00:00,,Not provided,Active,Production,4,62073,5643,67716,Production Technician I,Technician,No,Fully Meets
10272,09/06/1980,42,Biden,Lisa,F,Divorced,Montevideo,2019-05-18 00:00:00,,Not provided,Active,Production,2,37500,77147,77150,Production Technician I,Technician,No,Fully Meets
10282,01/10/1961,61,Kretschmer,John,M,Married,Buenos Aires,2019-07-19 00:00:00,,Not provided,Active,Production,4,43520,75487,75490,Production Technician I,Technician,No,Fully Meets
10285,29/12/1980,42,Handschiegl,Joanne,F,Married,Montevideo,2019-07-29 00:00:00,,Not provided,Active,Production,3,47500,62612,62616,Production Technician I,Technician,No,Fully Meets
10286,29/02/1956,67,Stanford,Barbara,F,Divorced,Montevideo,2019-08-01 00:00:00,,Not provided,Active,Production,2,42750,76024,76028,Production Technician I,Technician,No,Fully Meets
10292,23/10/1963,59,Fidelia,Linda,F,Married,Montevideo,2019-08-26 00:00:00,,Not provided,Active,Production,5,72851,0,72851,Production Technician I,Technician,No,Fully Meets
10296,09/04/1981,41,Sullivan,Alberto,M,Married,Montevideo,2019-10-08 00:00:00,,Not provided,Active,Production,5,60211,0,60211,Production Technician I,Technician,No,Fully Meets
10297,13/04/1975,47,Harrell,Mariano,M,Married,Lima,2019-10-18 00:00:00,,Not provided,Active,Production,3,72584,0,72584,Production Technician I,Technician,No,Fully Meets
10299,06/09/1972,50,Cornett,Lisa,F,Married,Montevideo,2019-10-29 00:00:00,,Not provided,Active,Production,5,57008,0,57008,Production Technician I,Technician,No,Fully Meets
10308,10/09/1978,44,Tippett,Jeanette,F,Divorced,Lima,2019-12-19 00:00:00,,Not provided,Active,Production,2,50250,76488,76493,Production Technician I,Technician,No,Fully Meets
10001,05/12/1955,67,Stoica,Juan,M,Married,Lima,2014-01-08 00:00:00,,Not provided,Active,Production,3,74900,10947,85847,Production Technician I,Technician,No,Fully Meets
10018,16/05/1978,44,England,Ana,F,Married,Lima,2014-05-18 00:00:00,,Not provided,Active,Production,3,53866,4558,58424,Production Technician I,Technician,No,Fully Meets
